id,nome,eta,nazione,ruolo,ruolo_detail,squadra,valore,instagram_followers,facebook_followers,twitter_followers
174694,Rony Lopes,22,Portogallo,Attaccante,Ala destra,AS Monaco,28000000,81477,44801,49367
167329,Alassane Plea,25,Francia,Attaccante,Punta centrale,Borussia Mönchengladbach,28000000,100946,12420,30338
129473,Rafinha,25,Brasile,Centrocampista,Centrale,FC Barcellona,28000000,3526186,3005150,1292455
91970,Juan Cuadrado,30,Colombia,Attaccante,Ala destra,Juventus FC,28000000,6928112,4933923,3840487
85314,Oscar,27,Brasile,Centrocampista,Trequartista,Shanghai SIPG,28000000,5437958,10620433,4508074
68864,Kevin Strootman,28,Olanda,Centrocampista,Centrale,Olympique Marsiglia,28000000,619862,620908,681480
61651,Jordan Henderson,28,Inghilterra,Centrocampista,Centrale,FC Liverpool,28000000,2270540,1370888,671800
341647,Cengiz Ünder,21,Turchia,Attaccante,Ala destra,AS Roma,27000000,724331,46930,146758
126414,Hakan Calhanoglu,24,Turchia,Attaccante,Ala sinistra,AC Milan,27000000,1901492,1212332,284947
240306,Bruno Fernandes,24,Portogallo,Centrocampista,Trequartista,Sporting CP,26000000,174297,41485,32305
60517,Yacine Brahimi,28,Algeria,Attaccante,Ala sinistra,FC Porto,26000000,598588,504716,79816
469822,David Neres,21,Brasile,Attaccante,Ala destra,AFC Ajax Amsterdam,25000000,505225,77535,
428791,Paulinho,18,Brasile,Attaccante,Ala sinistra,Bayer 04 Leverkusen,25000000,381686,34700,16875
423436,Santiago Ascacíbar,21,Argentina,Centrocampista,Mediano,VfB Stoccarda,25000000,63868,,
413507,Nikola Milenkovic,21,Serbia,Difensore,Difensore centrale,ACF Fiorentina,25000000,46212,,
406625,Lautaro Martínez,21,Argentina,Attaccante,Punta centrale,FC Internazionale,25000000,1044496,38143,
372711,Amine Harit,21,Marocco,Centrocampista,Trequartista,FC Schalke 04,25000000,807422,175407,87675
357885,Pablo Fornals,22,Spagna,Centrocampista,Trequartista,Villarreal CF,25000000,41119,,12388
354361,André Zambo Anguissa,23,Camerun,Centrocampista,Mediano,FC Fulham,25000000,69627,,
353948,Lucas Tousart,21,Francia,Centrocampista,Mediano,Olympique Lione,25000000,91013,5282,44726
350219,Fabián Ruiz,22,Spagna,Centrocampista,Centrale,SSC Napoli,25000000,219725,,52115
343052,Nicolas Pépé,23,Costa d'Avorio,Attaccante,Ala destra,LOSC Lilla,25000000,47899,,
283130,Moussa Marega,27,Mali,Attaccante,Seconda punta,FC Porto,25000000,160511,,17783
282388,Giovanni Simeone,23,Argentina,Attaccante,Punta centrale,ACF Fiorentina,25000000,374595,51428,208331
