nome,wiki,urls,wiki_visual,wiki_avg
Dries Mertens,https://en.wikipedia.org/wiki/Dries_Mertens,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Dries_Mertens,573574,1620
Diego Godín,https://en.wikipedia.org/wiki/Diego_Godín,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Diego_Godín,472836,1336
Mateo Kovacic,https://en.wikipedia.org/wiki/Mateo_Kovacic,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Mateo_Kovacic,3298,9
Danny Rose,"https://en.wikipedia.org/.../Danny_Rose_(footballer,_born_199...","https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Danny_Rose_(footballer,_born_199...",,
Juan Mata,https://en.wikipedia.org/wiki/Juan_Mata,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Juan_Mata,728671,2058
Marek Hamsik,https://en.wikipedia.org/wiki/Marek_Hamšík,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Marek_Hamšík,309024,873
David Silva,https://en.wikipedia.org/wiki/David_Silva,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=David_Silva,942447,2662
Axel Witsel,https://en.wikipedia.org/wiki/Axel_Witsel,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Axel_Witsel,775416,2190
Blaise Matuidi,https://en.wikipedia.org/wiki/Blaise_Matuidi,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Blaise_Matuidi,683576,1931
Hugo Lloris,https://en.wikipedia.org/wiki/Hugo_Lloris,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Hugo_Lloris,879715,2485
Manuel Neuer,https://en.wikipedia.org/wiki/Manuel_Neuer,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Manuel_Neuer,1146002,3237
James Maddison,https://en.wikipedia.org/wiki/James_Maddison,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=James_Maddison,536085,1514
Lorenzo Pellegrini,https://en.wikipedia.org/wiki/Lorenzo_Pellegrini,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Lorenzo_Pellegrini,202643,572
Rúben Dias,https://en.wikipedia.org/wiki/Rúben_Dias,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Rúben_Dias,103196,292
Joe Gomez,https://en.wikipedia.org/wiki/Joe_Gomez_(footballer),https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Joe_Gomez_(footballer),478320,1351
Rony Lopes,https://en.wikipedia.org/wiki/Rony_Lopes,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Rony_Lopes,120528,340
Alassane Plea,https://en.wikipedia.org/wiki/Alassane_Pléa,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Alassane_Pléa,134533,380
Rafinha,"https://en.wikipedia.org/wiki/Rafinha_(footballer,_born_February_1993)","https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Rafinha_(footballer,_born_February_1993)",528578,1493
Juan Cuadrado,https://en.wikipedia.org/wiki/Juan_Cuadrado,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Juan_Cuadrado,524730,1482
Oscar,"https://en.wikipedia.org/wiki/Oscar_(footballer,_born_1991)","https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Oscar_(footballer,_born_1991)",608270,1718
Kevin Strootman,https://en.wikipedia.org/wiki/Kevin_Strootman,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Kevin_Strootman,199228,563
Jordan Henderson,https://en.wikipedia.org/wiki/Jordan_Henderson,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Jordan_Henderson,822024,2322
