pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL
25,14,7,-,-,-,42,22,5,9,8,-,283,125,40,14,10,-
15,3,3,-,-,-,29,9,5,-,-,-,322,47,59,-,-,-
20,2,2,6,-,1,42,1,4,10,-,-,353,69,33,30,1,1
15,-,-,5,-,-,36,4,4,-,-,-,250,11,15,13,1,-
16,13,1,4,1,1,23,7,4,2,1,-,215,75,27,14,2,2
16,3,-,-,-,-,40,20,4,-,-,-,268,76,16,-,-,-
14,-,1,3,-,-,38,6,5,8,1,-,301,26,20,20,1,1
13,2,1,1,-,-,39,2,2,6,-,-,388,36,47,10,-,-
19,8,2,-,-,-,33,6,5,-,-,-,376,100,61,-,-,-
21,3,5,5,-,1,47,5,10,8,-,2,366,81,65,47,8,8
7,-,-,1,-,-,24,1,-,1,-,-,320,25,13,14,1,-
21,1,-,6,-,-,44,1,2,8,-,-,412,22,20,27,1,-
22,10,5,6,3,-,49,22,12,6,2,4,508,195,154,26,10,10
18,2,1,4,-,-,45,1,-,4,-,-,484,29,18,57,3,1
22,-,1,-,-,-,36,-,3,7,-,1,292,18,31,33,3,1
12,-,2,2,-,-,17,-,1,3,-,-,233,11,27,8,-,1
18,4,2,5,1,-,40,3,7,6,-,1,514,122,145,44,8,12
17,1,1,6,1,1,49,7,3,6,-,1,592,133,111,32,5,5
20,8,4,5,3,2,40,10,14,7,-,2,566,104,152,62,10,15
24,3,1,5,1,-,18,2,1,-,-,-,497,81,43,45,3,3
21,2,2,5,-,1,49,4,3,9,1,-,585,46,43,59,7,10
18,-,-,4,-,-,43,-,-,7,-,-,552,-,2,53,-,1
26,-,-,6,-,-,4,-,-,1,-,-,583,-,-,98,-,-
18,5,3,-,-,-,49,15,11,-,-,-,131,29,29,-,-,-
