nome,nome_chiave,nome2,insta_hashtag
Ross Barkley,Ross Barkley,rossbarkley,6817
Simone Verdi,Simone Verdi,simoneverdi,1520
Dennis Praet,Dennis Praet,dennispraet,1186
Faouzi Ghoulam,Ghoulam,ghoulam,10162
Matthias Ginter,Matthias Ginter,matthiasginter,5363
Emil Forsberg,Emil Forsberg,emilforsberg,1866
Marcel Sabitzer,Marcel Sabitzer,marcelsabitzer,1084
Thorgan Hazard,Thorgan Hazard,thorganhazard,6599
Thomas Meunier,Meunier,meunier,21350
Shkodran Mustafi,Shkodran Mustafi,shkodranmustafi,5080
Sime Vrsaljko,Vrsaljko,vrsaljko,15834
Iago Aspas,Iago Aspas,iagoaspas,5644
Vitolo,Vitolo,vitolo,6985
Pedro Rodriguez,Pedro Rodriguez,pedrorodriguez,11840
Asier Illarramendi,Asier Illarramendi,asierillarramendi,1044
Aleksandar Mitrovic,Aleksandar Mitrovic,aleksandarmitrovic,1493
David Luiz,David Luiz,davidluiz,303275
Marko Arnautovic,Arnautovic,arnautovic,16251
Arturo Vidal,Arturo Vidal,arturovidal,86564
Sami Khedira,Khedira,khedira,108235
Edin Dzeko,Dzeko,dzeko,109115
Luka Modric,Modric,modric,783947
Cesc Fàbregas,Fabregas,fabregas,206541
Danilo Pereira,Danilo Pereira,danilopereira,1061
José Callejón,José Callejón,josecallejon,7611
