nome,squadra,nazione_squadra
Pedro Rodriguez,Chelsea FC,Inghilterra
Asier Illarramendi,Real Sociedad,Spagna
Aleksandar Mitrovic,FC Fulham,Inghilterra
David Luiz,Chelsea FC,Inghilterra
Marko Arnautovic,West Ham United,Inghilterra
Arturo Vidal,FC Barcellona,Spagna
Sami Khedira,Juventus FC,Italia
Edin Dzeko,AS Roma,Italia
Luka Modric,Real Madrid CF,Spagna
Cesc Fàbregas,Chelsea FC,Inghilterra
Danilo Pereira,FC Porto,Portogallo
José Callejón,SSC Napoli,Italia
