nome,Instagram,Facebook,Twitter,SOCIAL,Germania,Francia,Italia,Spagna,Inghilterra,Internazionale,MEDIA,GOOGLE,WIKIPEDIA,IPOP
Aleksandr Golovin,0.417,0.348,0.397,0.387,0.307,0.426,0.397,0.385,0.504,0.52,0.423,0.266,0.474,0.404
Gelson Martins,0.251,0.315,0.233,0.266,0.345,0.329,0.37,0.396,0.396,0.445,0.38,0.276,0.39,0.341
Nicolò Barella,0.24,0.142,0.241,0.208,0.155,0.144,0.72,0.157,0.319,0.424,0.32,0.386,0.223,0.286
Iñaki Williams,0.17,0.255,0.32,0.248,0.131,0.244,0.2,0.302,0.404,0.408,0.282,0.065,0.301,0.255
Keita Baldé,0.365,0.398,0.366,0.376,0.287,0.468,0.611,0.379,0.417,0.489,0.442,0.312,0.375,0.406
Nélson Semedo,0.452,0.448,0.326,0.409,0.292,0.376,0.287,0.389,0.408,0.458,0.368,0.272,0.39,0.373
Thilo Kehrer,0.322,0.22,0.216,0.253,0.53,0.345,0.159,0.185,0.275,0.34,0.306,0.131,0.326,0.277
André Silva,0.505,0.454,0.447,0.468,0.522,0.55,0.632,0.531,0.636,0.634,0.584,0.696,0.48,0.553
Ante Rebic,0.406,0.36,0.406,0.391,0.538,0.302,0.212,0.284,0.417,0.409,0.36,0.216,0.494,0.368
Jean Michaël Seri,0.122,0.112,0.218,0.15,0.442,0.562,0.244,0.412,0.549,0.68,0.481,0.488,0.273,0.373
Serge Gnabry,0.382,0.492,0.518,0.464,0.638,0.49,0.426,0.318,0.503,0.588,0.494,0.219,0.424,0.454
Wissam Ben Yedder,0.28,0.269,0.357,0.302,0.393,0.6,0.429,0.522,0.448,0.656,0.508,0.237,0.47,0.424
Wilfried Zaha,0.297,0.449,0.567,0.438,0.367,0.376,0.421,0.266,0.683,0.557,0.445,0.453,0.523,0.451
Alessandro Florenzi,0.468,0.552,0.547,0.522,0.408,0.427,0.745,0.403,0.46,0.531,0.495,0.256,0.257,0.459
Geoffrey Kondogbia,0.319,0.355,0.414,0.362,0.238,0.542,0.648,0.524,0.446,0.536,0.489,0.198,0.329,0.413
Paco Alcácer,0.532,0.377,0.465,0.458,0.522,0.419,0.46,0.603,0.533,0.603,0.523,0.334,0.493,0.486
Willian José,0.132,0.149,0.37,0.217,0.405,0.449,0.412,0.53,0.772,0.596,0.527,0.444,0.249,0.41
Emre Can,0.544,0.551,0.291,0.462,0.614,0.414,0.589,0.429,0.656,0.621,0.554,0.612,0.521,0.531
Ander Herrera,0.539,0.558,0.672,0.59,0.349,0.372,0.496,0.548,0.668,0.575,0.501,0.455,0.405,0.513
Gylfi Sigurdsson,0.311,0.258,0.328,0.299,0.623,0.428,0.46,0.41,0.715,0.578,0.536,0.4,0.44,0.45
