nome,nome_chiave,eta,ruolo,ruolo_dettaglio,squadra,nazione_squadra,nazione_giocatore,instagram_followers,facebook_followers,twitter_followers,insta_likes_avg,google_hits,google_hits_1,wiki_visual,insta_hashtag,GER_kicker,GER_bild_G,GER_eurosport_G,ITA_corriere,ITA_sky_G,ITA_gazzetta_G,ENG_thesun,ENG_sky_G,ENG_guardian_G,SPA_marca,SPA_as_G,SPA_mundodep_G,FRA_francefootball_G,FRA_lequipe_G,FRA_eurosport_G,FRA_le10sport_G,INT_eurosport_G,INT_espn_G,INT_bein_G,pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL,whoscored1819,valore
Juan Cuadrado,Cuadrado,30,Attaccante,Ala destra,Juventus FC,Italia,Colombia,6928112,4933923,3840487,181269.1,46500000,176000000,524730,124724,211,137,180,1542,3420,21500,216,301,432,1206,8130,1070,1670,8830,245,245,15500,297,1170,16,1,4,5,0,2,29,5,10,6,1,1,310,43,56,32,3,4,6.89,28000000
Oscar Dos Santos,Oscar Dos Santos,27,Centrocampista,Trequartista,Shanghai SIPG,Cina,Brasile,5437958,10620433,4508074,33853,1310000000,79500000,608270,2230,19,3,2,2,4,7,10,34,224,169,1980,609,23,6,20,4,208,550,8,0,0,0,0,0,0,40,16,24,0,0,0,346,78,97,30,8,8,8.16,28000000
Kevin Strootman,Strootman,28,Centrocampista,Centrale,Olympique Marsiglia,Francia,Olanda,619862,620908,681480,21236.8,1950000,3890000,199228,28542,107,45,7,1428,957,1790,59,259,238,89,373,173,224,362,620,5080,978,154,1090,18,0,2,0,0,0,44,1,1,11,0,1,337,41,70,12,0,1,6.85,28000000
Jordan Henderson,Jordan Henderson,28,Centrocampista,Centrale,FC Liverpool,Inghilterra,Inghilterra,2270540,1370888,671800,86238.1,67800000,63800000,822024,21337,193,90,107,18,25,200,914,1280,1110,75,412,258,82,204,162,7,2080,3000,650,20,0,0,4,0,0,41,1,2,10,0,0,392,30,53,19,1,0,6.41,28000000
Cengiz Ünder,Cengiz Ünder,21,Attaccante,Ala destra,AS Roma,Italia,Turchia,724331,46930,146758,139861.8,10200000,9220000,327399,11716,60,38,6,94,142,6750,44,513,152,8,242,50,1540,1260,39,9,458,196,520,21,5,6,6,3,2,32,8,2,5,1,1,154,33,24,11,4,3,6.83,27000000
Hakan Calhanoglu,Hakan Calhanoglu,24,Attaccante,Ala sinistra,AC Milan,Italia,Turchia,1901492,1212332,284947,125490.2,1370000,1290000,228729,30069,639,636,249,35,151,646,61,101,182,57,414,227,10,74,51,1,666,233,326,20,1,8,0,0,0,45,8,13,0,0,0,321,71,74,20,5,9,6.86,27000000
Bruno Fernandes,Bruno Fernandes,24,Centrocampista,Trequartista,Sporting CP,Portogallo,Portogallo,174297,41485,32305,20362.6,47100000,39300000,175089,2847,91,125,84,230,124,449,60,88,48,47,1130,178,40,89,39,1,438,83,120,25,13,8,0,0,0,56,16,20,6,1,1,245,54,46,6,1,1,7.4,26000000
Yacine Brahimi,Brahimi,28,Attaccante,Ala sinistra,FC Porto,Portogallo,Algeria,598588,504716,79816,35933,1340000,4080000,111709,1977,37,9,1,11,3,113,29,71,119,126,139,169,328,284,180,975,210,46,180,22,5,5,5,0,2,49,12,10,7,1,1,340,66,51,31,8,7,7.29,26000000
David Neres,David Neres,21,Attaccante,Ala destra,AFC Ajax Amsterdam,Olanda,Brasile,505225,77535,,45567.8,3000000,2290000,137871,2651,12,3,7,15,4,9,13,32,7,4,73,26,4,9,7,2,30,8,30,28,4,10,6,0,1,38,15,14,0,0,0,90,27,28,6,0,1,6.96,25000000
Paulinho,Paulinho,18,Attaccante,Ala sinistra,Bayer 04 Leverkusen,Germania,Brasile,381686,34700,16875,49090.5,18500000,13500000,101792,189102,390,212,3400,198,339,882,289,345,595,574,6450,1930,138,491,286,381,1360,410,1120,12,1,0,0,0,0,6,2,2,0,0,0,36,6,3,0,0,0,5.93,25000000
Santiago Ascacíbar,Ascacibar,21,Centrocampista,Mediano,VfB Stoccarda,Germania,Argentina,63868,,,9075.9,788000,254000,50764,1082,137,205,91,9,1,4,5,4,4,8,164,22,28,12,1,1,6,8,4,16,0,0,0,0,0,31,0,1,0,0,0,95,0,1,0,0,0,6.64,25000000
Nikola Milenkovic,Milenkovic,21,Difensore,Difensore centrale,ACF Fiorentina,Italia,Serbia,46212,,,8174.7,1690000,4160000,103957,929,23,25,7,181,2240,224,38,97,155,14,472,48,27,1640,33,11,157,1310,44,16,2,0,0,0,0,17,0,0,0,0,0,77,6,1,0,0,0,6.92,25000000
Lautaro Martínez,lautaro martinez,21,Attaccante,Punta centrale,FC Internazionale,Italia,Argentina,1044496,38143,,149064.1,7400000,11100000,424787,18047,21,20,7,156,200,4650,21,202,25,59,891,184,27,38,53,10,370,246,521,13,2,1,3,0,0,27,18,5,0,0,0,71,28,7,3,0,0,6.58,25000000
Amine Harit,Amine Harit,21,Centrocampista,Trequartista,FC Schalke 04,Germania,Marocco,807422,175407,87675,59124.7,672000,659000,123294,6625,148,275,101,2,3,2,15,37,18,7,159,35,199,134,66,88,51,40,103,18,1,3,4,0,0,35,3,7,0,0,0,87,5,11,4,0,0,6.89,25000000
Pablo Fornals,Fornals,22,Centrocampista,Trequartista,Villarreal CF,Spagna,Spagna,41119,,12388,4215.8,405000,647000,66882,1048,14,8,1,14,8,6,16,41,23,184,2530,649,7,34,22,3,408,57,227,24,3,3,0,0,0,46,4,13,0,0,0,133,14,19,0,0,0,6.82,25000000
André Zambo Anguissa,Anguissa,23,Centrocampista,Mediano,FC Fulham,Inghilterra,Camerun,69627,,,10035.8,356000,565000,74364,857,20,6,2,9,94,5,23,87,49,9,191,27,278,499,243,303,127,41,419,14,0,0,0,0,0,56,0,0,0,0,0,120,0,2,0,0,0,5.93,25000000
Lucas Tousart,Tousart,21,Centrocampista,Mediano,Olympique Lione,Francia,Francia,91013,5282,44726,7905.9,260000,397000,43265,1132,16,7,4,25,20,9,9,27,27,4,242,65,540,631,3030,424,64,9,510,21,0,0,5,0,0,50,0,0,0,0,0,129,2,3,6,0,0,6.73,25000000
Fabián Ruiz,fabian ruiz,22,Centrocampista,Centrale,SSC Napoli,Italia,Spagna,219725,,52115,33354.7,23300000,21700000,135178,3895,37,2,4,141,267,224,9,59,33,94,531,123,52,41,21,6,281,86,100,15,3,0,6,0,0,35,3,6,0,0,0,115,10,9,6,0,0,7.34,25000000
Nicolas Pépé,Nicolas Pépé,23,Attaccante,Ala destra,LOSC Lilla,Francia,Costa d'Avorio,47899,,,9514.4,28400000,27400000,107068,332,18,67,10,16,9,8,85,253,170,16,1030,183,303,410,270,879,215,171,441,20,12,7,0,0,0,38,14,5,0,0,0,135,36,16,0,0,0,7.47,25000000
Moussa Marega,Marega,27,Attaccante,Seconda punta,FC Porto,Portogallo,Mali,160511,,17783,16884,376000,2060000,128824,3655,28,24,5,6,24,81,21,34,34,32,4130,64,98,255,8,5,107,56,87,21,14,6,6,5,2,40,23,8,6,0,2,142,67,30,12,5,4,7.35,25000000
Giovanni Simeone,Giovanni Simeone,23,Attaccante,Punta centrale,ACF Fiorentina,Italia,Argentina,374595,51428,208331,22327.8,4780000,5340000,317301,1396,32,34,6,166,315,1440,40,97,49,85,589,252,44,74,118,453,405,132,208,17,4,3,0,0,0,41,15,5,0,0,0,158,48,13,0,0,0,6.9,25000000
Jean-Kévin Augustin,Jean Augustin,21,Attaccante,Punta centrale,RasenBallsport Lipsia,Germania,Francia,258623,32698,37797,4750.5,548000,71100000,103668,508,177,263,197,17,1,7,26,81,95,12,290,163,209,469,267,514,130,39,390,24,8,2,0,0,0,37,12,6,5,1,0,112,34,13,7,1,0,6.46,25000000
Jefferson Lerma,Lerma,24,Centrocampista,Mediano,AFC Bournemouth,Inghilterra,Colombia,46091,,6447,3562.2,965000,15900000,137665,27103,17,2,8,10,2,7,61,234,95,264,5150,1220,78,45,19,1,252,58,120,16,1,1,0,0,0,28,0,1,0,0,0,158,8,8,0,0,0,7.02,25000000
Talisca,Talisca,24,Centrocampista,Trequartista,Guangzhou Evergrande Taobao,Cina,Brasile,566183,,,17370.7,2410000,2310000,287288,100939,33,44,5,37,33,50,35,54,55,62,196,128,51,140,75,7,487,37,221,0,0,0,0,0,0,65,36,16,8,4,0,208,77,28,22,8,0,5.93,25000000
Alex Telles,Alex Telles,25,Difensore,Terzino sinistro,FC Porto,Portogallo,Brasile,751898,146669,,18682.8,9650000,461000000,96766,28725,26,4,2,81,39,348,23,24,34,54,509,78,10,115,35,53,664,62,84,24,1,6,6,0,2,45,4,20,7,1,2,233,9,46,27,1,6,7.46,25000000
Abdou Diallo,Diallo,22,Difensore,Difensore centrale,Borussia Dortmund,Germania,Francia,,,,,3150000,21400000,136375,5554,259,403,143,56,90,101,31,71,219,65,592,163,921,1600,426,194,239,936,571,20,1,0,5,0,0,30,3,1,0,0,0,109,7,2,6,0,0,6.9,25000000
Wendell,Wendell,25,Difensore,Terzino sinistro,Bayer 04 Leverkusen,Germania,Brasile,75640,5311,,2855.2,41100000,38000000,34761,31129,423,423,200,44,67,80,43,68,384,50,489,147,9,87,42,81,215,943,84,23,1,1,0,0,0,30,3,3,0,0,0,202,7,12,16,0,2,6.83,25000000
Lucas Vázquez,Lucas Vazquez,27,Attaccante,Ala destra,Real Madrid CF,Spagna,Spagna,7136164,2709217,1047135,200357.9,17600000,28100000,412608,68961,167,144,144,185,218,291,173,450,270,851,14300,2170,133,125,210,99,1730,558,786,22,2,2,4,1,1,53,8,16,10,1,3,265,34,61,31,3,7,6.63,25000000
Elseid Hysaj,Hysaj,24,Difensore,Terzino destro,SSC Napoli,Italia,Albania,218212,,,14667.1,1530000,2440000,108605,4995,52,7,2,889,352,5680,51,47,55,27,416,126,102,102,52,39,682,1170,73,18,0,1,3,0,0,47,0,1,6,0,0,289,2,9,16,0,0,6.71,25000000
Bryan Cristante,Cristante,23,Centrocampista,Centrale,AS Roma,Italia,Italia,146485,,112823,22178.6,511000,3590000,144692,7148,49,9,6,548,428,1080,25,47,42,171,548,89,44,92,70,8,706,3820,130,21,3,2,5,0,0,47,12,4,0,0,0,186,27,10,11,0,0,6.71,25000000
Mattia Caldara,Caldara,24,Difensore,Difensore centrale,AC Milan,Italia,Italia,479254,,,56902.9,686000,4900000,295390,13056,29,22,7,649,450,975,40,51,59,112,217,33,37,46,77,24,747,68,125,1,0,0,0,0,0,34,3,4,0,0,0,183,20,4,0,0,0,5.93,25000000
Julian Weigl,Julian Weigl,23,Centrocampista,Mediano,Borussia Dortmund,Germania,Germania,559353,209683,143274,21727.4,1280000,2450000,118819,11650,515,659,528,31,4,8,67,67,90,18,488,180,136,71,119,38100,251,130,152,9,1,0,3,0,0,34,1,0,5,0,0,253,8,5,17,1,0,6.59,25000000
Alejandro Grimaldo,Grimaldo,23,Difensore,Terzino sinistro,Benfica Lisbona,Portogallo,Spagna,313722,37454,83393,15999.2,879000,5580000,70538,3325,15,15,5,193,35,19,28,23,48,294,395,770,21,33,22,6,140,30,133,25,4,3,6,2,0,37,1,5,4,0,0,215,17,27,14,2,0,7.2,25000000
Ben Davies,Ben Davies,25,Difensore,Terzino sinistro,Tottenham Hotspur,Inghilterra,Galles,225142,,176193,13192.8,88400000,66300000,147546,2913,84,41,3,49,166,220,539,1300,3110,26,746,127,5,108,56,3,1300,540,250,21,0,1,5,0,1,38,2,6,5,0,0,244,7,19,13,0,1,6.87,25000000
Stanislav Lobotka,Lobotka,24,Centrocampista,Mediano,Celta de Vigo,Spagna,Slovacchia,24223,,,3499.8,309000,1280000,54635,520,14,4,1,17,20,9,6,35,9,113,463,246,30,15,9,107,260,29,5,12,0,1,0,0,0,41,0,0,0,0,0,229,6,13,0,0,0,6.72,25000000
Victor Lindelöf,Lindelöf,24,Difensore,Difensore centrale,Manchester United,Inghilterra,Svezia,1118917,62300,249234,129585.7,1410000,11300000,349372,46071,87,62,50,87,92,261,737,61500,322,55,594,139,122,167,106,341,1590,165,190,17,0,0,3,0,0,29,0,0,5,0,0,255,5,5,20,0,0,6.52,25000000
Jean-Philippe Gbamin,Gbamin,23,Centrocampista,Mediano,1.FSV Magonza 05,Germania,Costa d'Avorio,17104,2613,422342,2174.5,172000,237000,21229,194,262,422,134,4,1,3,1,5,1,6,140,2,50,223,7,3,4,3,9,17,2,0,0,0,0,31,1,3,0,0,0,177,7,5,0,0,0,6.7,25000000
Nathan Aké,Nathan Aké,23,Difensore,Difensore centrale,AFC Bournemouth,Inghilterra,Olanda,650814,363958,293063,13990.4,1240000,4210000,233317,3059,26,6,5,5,43,21,270,344,331,16,117,158,4,57,8,1,400,80,131,19,1,0,0,0,0,40,2,3,0,0,0,169,11,9,1,0,1,6.78,25000000
Matteo Politano,Politano,25,Attaccante,Ala destra,FC Internazionale,Italia,Italia,267371,22124,17595,57867.5,955000,3820000,149947,9952,35,5,6,804,724,3040,11,201,52,317,306,78,116,88,41,1,677,150,195,23,2,4,6,0,1,39,11,5,0,0,0,296,57,29,6,0,1,6.94,25000000
Matías Vecino,Vecino,27,Centrocampista,Centrale,FC Internazionale,Italia,Uruguay,228512,29893,47969,34086.8,4390000,56500000,171665,62448,67,18,10,798,584,1190,51,93,78,1158,3400,1640,91,112,52,2,1080,873,317,17,1,4,5,1,1,31,3,3,0,0,0,235,21,22,5,1,1,6.61,25000000
Ross Barkley,Ross Barkley,25,Centrocampista,Trequartista,Chelsea FC,Inghilterra,Inghilterra,689678,,489651,61834.6,12900000,11800000,702882,6817,50,87,51,19,25,6,801,3920,1110,41,167,154,35,116,93,40,1170,365,381,22,3,4,0,0,0,5,0,0,0,0,0,251,41,36,0,0,0,6.7,25000000
Simone Verdi,Simone Verdi,26,Attaccante,Ala destra,SSC Napoli,Italia,Italia,132188,,,22453.5,14400000,15300000,140047,1520,23,4,4,222,304,380,15,41,41,23,154,83,7,39,9,3,361,54,154,6,1,1,1,0,0,35,10,10,0,0,0,255,49,32,1,0,0,6.66,25000000
Dennis Praet,Dennis Praet,24,Centrocampista,Centrale,UC Sampdoria,Italia,Belgio,82155,120655,70680,6052.6,489000,409000,53176,1186,22,1,1,46,42,8,11,57,27,25,242,70,4,9,2,1,151,8,4,16,1,2,0,0,0,35,1,3,0,0,0,270,30,45,17,1,2,6.9,25000000
Faouzi Ghoulam,Ghoulam,27,Difensore,Terzino sinistro,SSC Napoli,Italia,Algeria,585066,,1540606,37448.7,478000,1870000,78730,10162,38,5,6,923,607,1120,57,45,98,46,388,259,146,248,172,438,690,6,230,4,0,2,1,0,0,17,2,5,4,0,1,254,3,35,13,0,4,7.72,25000000
Matthias Ginter,Matthias Ginter,24,Difensore,Difensore centrale,Borussia Mönchengladbach,Germania,Germania,331649,261335,110829,12331.9,1060000,1130000,123226,5363,801,918,471,10,6,9,30,98,70,12,88,62,85,57,79,1,140,62,195,14,1,0,0,0,0,37,5,2,0,0,0,298,42,16,13,0,1,7.04,25000000
Emil Forsberg,Emil Forsberg,27,Attaccante,Ala sinistra,RasenBallsport Lipsia,Germania,Svezia,121510,,15826,18562.1,2860000,2370000,266569,1866,456,532,365,16,19,19,90,107,87,17,193,56,46,78,61,2,287,69,206,12,3,3,0,0,0,33,5,4,5,2,0,317,75,65,11,2,1,7.01,25000000
Marcel Sabitzer,Sabitzer,24,Attaccante,Ala destra,RasenBallsport Lipsia,Germania,Austria,71678,21555,,7847.6,450000,715000,47845,1084,380,372,269,5,5,3,18,44,28,7,141,6,54,38,26,1,117,3,77,24,3,4,0,0,0,34,5,9,5,0,3,341,102,59,5,0,3,6.85,25000000
Thorgan Hazard,Thorgan Hazard,25,Attaccante,Ala sinistra,Borussia Mönchengladbach,Germania,Belgio,457000,,271127,51147.8,1400000,1610000,643693,6599,452,637,251,19,19,54,77,142,67,48,220,153,125,123,173,56,227,68,359,19,12,7,0,0,0,37,11,9,0,0,0,272,66,69,8,1,1,7.79,25000000
Thomas Meunier,Meunier,27,Difensore,Terzino destro,FC Paris Saint-Germain,Francia,Belgio,851612,128650,306384,20003.8,13100000,20500000,367682,21350,151,98,61,100,71,105,159,122,259,96,1900,273,2590,5260,1070,1430,534,348,951,16,3,4,4,1,2,34,5,6,1,0,0,289,30,39,11,2,4,7.24,25000000
Shkodran Mustafi,Shkodran Mustafi,26,Difensore,Difensore centrale,FC Arsenal,Inghilterra,Germania,1246455,979694,689524,80274.5,2350000,2020000,384173,5080,379,849,592,27,91,701,672,3280,248,108,318,256,61,130,97,4,923,243,370,18,2,0,0,0,0,38,3,2,0,0,0,303,19,10,12,0,0,7.2,25000000
Sime Vrsaljko,Vrsaljko,26,Difensore,Terzino destro,FC Internazionale,Italia,Croazia,627490,,26098,117498.4,1240000,2270000,458282,15834,100,50,103,565,327,926,93,172,75,321,3030,1170,92,220,134,21,1160,186,535,11,0,1,2,0,0,29,0,5,1,0,0,260,2,34,14,0,1,7.06,25000000
Iago Aspas,Iago Aspas,31,Attaccante,Punta centrale,Celta de Vigo,Spagna,Spagna,184494,,262502,14715.7,2890000,2630000,489044,5644,86,33,50,109,51,110,120,199,256,1253,5420,1570,403,229,109,119,2740,1060,481,19,11,2,0,0,0,37,23,5,0,0,0,367,144,32,0,0,0,7.45,25000000
Vitolo,Vitolo,29,Attaccante,Ala sinistra,Atlético de Madrid,Spagna,Spagna,256149,37024,148078,12210.8,8090000,5040000,152278,6985,131,9,7,185,48,120,71,248,98,2132,5190,2350,114,145,119,3,1130,263,751,13,1,2,3,0,0,34,4,2,0,0,0,314,59,54,16,1,2,5.93,25000000
Pedro Rodriguez,Pedro Rodriguez,31,Attaccante,Ala sinistra,Chelsea FC,Inghilterra,Spagna,5480482,5348928,6606,63950.7,1210000000,146000000,202740,11840,71,88,51,71,102,342,39,2570,335,694,4790,3260,10,190,121,59,966,1590,277,25,6,2,0,0,0,48,7,5,7,1,2,477,133,83,73,16,11,7.12,25000000
Asier Illarramendi,Illarramendi,28,Centrocampista,Mediano,Real Sociedad,Spagna,Spagna,714661,123301,418659,3574.6,589000,1070000,105389,1044,50,8,2,3,10,153,10,87,146,523,433,1640,3,28,119,10,395,9,10,17,1,0,0,0,0,44,7,6,0,0,0,347,18,16,18,0,0,6.82,25000000
Aleksandar Mitrovic,Mitrovic,24,Attaccante,Punta centrale,FC Fulham,Inghilterra,Serbia,82406,52436,,15284.2,3320000,9620000,731300,1493,53,24,41,17,194,165,326,2570,338,45,188,85,132,62,165,55,544,159,251,19,7,2,0,0,0,27,14,1,0,0,0,269,105,29,11,2,1,7.06,25000000
David Luiz,David Luiz,31,Difensore,Difensore centrale,Chelsea FC,Inghilterra,Brasile,18471638,25090978,8754302,138042.2,61500000,48100000,704806,303275,532,435,125,204,198,571,1160,70200,1640,673,1650,1590,3760,6490,985,2240,2010,1830,1310,21,1,0,0,0,0,17,2,0,4,1,0,438,30,23,54,7,1,7.25,25000000
Marko Arnautovic,Arnautovic,29,Attaccante,Punta centrale,West Ham United,Inghilterra,Austria,244944,602756,,22564.2,2860000,3810000,543170,16251,478,772,152,74,9080,249,585,1090,682,91,601,126,2380,1500,67,5,1110,327,989,14,5,2,0,0,0,35,11,8,0,0,0,360,78,65,5,2,0,6.97,25000000
Arturo Vidal,Arturo Vidal,31,Centrocampista,Centrale,FC Barcellona,Spagna,Cile,8064479,2096246,4109978,285384.1,26700000,23900000,968559,86564,1040,1310,1070,263,167,783,332,344,431,753,7520,1420,374,333,330,860,1660,2330,1250,21,2,3,5,0,0,35,6,2,8,0,0,461,93,67,59,14,5,6.81,25000000
Sami Khedira,Khedira,31,Centrocampista,Centrale,Juventus FC,Italia,Germania,5108477,6663056,352212,109272,4700000,11100000,574768,108235,2330,3120,1580,1412,660,3170,201,247,451,2268,3840,1470,420,603,639,358,2500,433,1890,8,1,0,3,0,0,39,9,7,8,0,3,446,49,47,71,1,9,6.58,25000000
Edin Dzeko,Dzeko,32,Attaccante,Punta centrale,AS Roma,Italia,Bosnia-Erzegovina,1386548,1994556,1537324,62032.6,5530000,12500000,848010,109115,1082,885,227,3015,3420,5720,292,1150,931,597,1550,904,2090,1810,481,280,2880,709,1330,17,7,4,4,5,2,49,24,7,12,8,5,533,253,107,53,22,12,6.96,25000000
Luka Modric,Modric,33,Centrocampista,Centrale,Real Madrid CF,Spagna,Croazia,16413351,8119011,861716,1060361,39100000,43800000,3729809,783947,657,849,1050,743,1240,6320,865,1480,1770,3471,37600,3950,3510,6680,17700,5540,8990,8730,7630,23,1,4,4,0,1,43,2,8,11,1,1,509,52,91,74,5,9,6.87,25000000
Cesc Fàbregas,Fabregas,31,Centrocampista,Centrale,Chelsea FC,Inghilterra,Spagna,10345235,7044992,9739920,136255.4,5180000,18100000,1035506,206541,722,584,656,266,571,2080,1348,69400,1950,2609,1150,3310,6930,8230,1460,12400,6410,2810,1820,14,1,2,0,0,0,49,3,9,8,1,1,654,123,202,104,20,24,6.29,25000000
Danilo Pereira,Danilo Pereira,27,Centrocampista,Mediano,FC Porto,Portogallo,Portogallo,298375,,,16652.4,17600000,15800000,66636,1061,58,3,21,42,71,96,30,116,39,27,697,166,154,121,108,9,339,75,76,18,0,1,6,0,0,30,4,3,6,1,3,265,22,10,26,1,3,6.97,24000000
José Callejón,Callejon,31,Attaccante,Ala destra,SSC Napoli,Italia,Spagna,395728,,830724,23011.8,12900000,37300000,182964,7611,225,150,6,1520,722,2330,62,145,187,1649,794,1060,42,255,241,87,1430,171,548,20,0,8,6,0,3,50,12,17,6,1,1,459,106,95,35,11,7,6.9,24000000
