nome,nome_chiave,eta,ruolo,ruolo_dettaglio,squadra,nazione_squadra,nazione_giocatore,instagram_followers,facebook_followers,twitter_followers,insta_likes_avg,google_hits,google_hits_1,wiki_visual,insta_hashtag,GER_kicker,GER_bild_G,GER_eurosport_G,ITA_corriere,ITA_sky_G,ITA_gazzetta_G,ENG_thesun,ENG_sky_G,ENG_guardian_G,SPA_marca,SPA_as_G,SPA_mundodep_G,FRA_francefootball_G,FRA_lequipe_G,FRA_eurosport_G,FRA_le10sport_G,INT_eurosport_G,INT_espn_G,INT_bein_G,pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL,whoscored1819,valore
Virgil van Dijk,Van Dijk,27,Difensore,Difensore centrale,FC Liverpool,Inghilterra,Olanda,1815799,,529000,236103.5,12800000,38800000,1130768,68205,168,247,430,191,931,1790,1167,9460,1060,159,2160,362,1600,4340,306,136,2160,4060,1340,24,1,2,6,0,1,36,2,0,6,0,0,311,32,14,18,0,1,7.39,60000000
Daniel Carvajal,Carvajal,26,Difensore,Terzino destro,Real Madrid CF,Spagna,Spagna,3177922,637283,3502254,117677.3,17200000,43500000,350893,323257,374,412,262,278,158,296,261,324,301,2391,21300,3480,324,406,468,455,2800,719,1650,17,1,3,4,0,0,41,0,7,8,0,3,255,6,43,46,1,11,7.28,60000000
Álvaro Morata,Morata,26,Attaccante,Punta centrale,Chelsea FC,Inghilterra,Spagna,9840989,7484382,4356784,293953.1,5040000,66200000,936800,329170,391,591,656,1831,11200,9380,2099,6390,844,2726,34200,24700,518,819,924,1810,13700,4660,5500,21,7,0,0,0,0,48,15,6,7,1,0,276,93,42,42,12,7,6.61,60000000
Alisson,Alisson,26,Portiere,Portiere,FC Liverpool,Inghilterra,Brasile,3673963,1234101,404576,218720.2,28600000,20000000,1133248,99249,125,240,99,1018,3510,848,560,3420,343,179,11400,736,146,256,209,367,1560,3210,991,24,0,0,6,0,0,49,0,0,12,0,0,144,0,0,18,0,0,6.86,60000000
Jorginho,Jorginho,26,Centrocampista,Mediano,Chelsea FC,Inghilterra,Italia,775397,,,39095.5,6480000,6240000,984075,56616,163,117,84,1106,894,1450,439,66000,275,128,807,322,266,257,147,208,1180,2980,533,20,1,0,0,0,0,39,4,4,2,1,0,276,18,22,6,1,0,6.78,60000000
Kalidou Koulibaly,Koulibaly,27,Difensore,Difensore centrale,SSC Napoli,Italia,Senegal,619359,86341,106101,49435.2,2370000,28700000,329865,21700,86,71,46,1326,7300,1610,246,150,158,72,1230,405,161,9820,335,4960,1380,4030,2840,23,0,2,6,0,0,45,5,1,5,0,0,321,12,12,19,0,0,7.16,60000000
Thiago Alcantara,Thiago Alcantara,27,Centrocampista,Centrale,FC Bayern Monaco,Germania,Spagna,4578122,3463398,25214,128785.2,97900000,10200000,601070,20602,966,608,171,132,160,586,155,261,265,710,2320,1250,1340,340,399,308,1030,236,640,20,2,3,3,0,2,32,7,4,10,3,0,284,38,50,49,8,11,7.36,60000000
Edinson Cavani,Cavani,31,Attaccante,Punta centrale,FC Paris Saint-Germain,Francia,Uruguay,5957071,4893719,1759373,117515,9460000,64200000,1671523,275686,528,1570,708,1186,972,3420,811,2920,803,1471,16200,2400,22500,52600,17500,6700,5050,4020,6300,18,13,4,6,2,2,48,40,11,8,7,1,519,324,61,58,34,6,7.67,60000000
Diego Costa,Diego Costa,30,Attaccante,Punta centrale,Atlético de Madrid,Spagna,Spagna,3415904,1824875,538871,145902.3,409000000,412000000,1637902,142459,791,689,329,677,625,2770,2035,2800,2440,4015,41800,5990,824,1430,1320,2270,6580,6740,2960,15,4,2,3,1,1,23,7,6,0,0,0,431,173,65,27,11,6,6.55,60000000
Kai Havertz,Kai Havertz,19,Centrocampista,Trequartista,Bayer 04 Leverkusen,Germania,Germania,110004,16778,,21058.2,463000,1050000,113608,2623,239,435,338,3,39,42,23,50,27,15,207,68,573,35,19,9,81,47,41,23,9,6,0,0,0,35,4,9,0,0,0,151,45,25,3,0,0,7.04,55000000
John Stones,John Stones,24,Difensore,Difensore centrale,Manchester City,Inghilterra,Inghilterra,713225,,27945,52937.1,256000000,383000000,706979,13395,124,528,106,55,40,52,2169,3650,7960,42,758,341,108,145,129,8,1880,1350,698,22,0,0,6,0,0,29,3,0,5,3,0,227,7,1,18,4,0,6.97,55000000
